fnl,hpw,gain,edu_int,years,loss,relation,country,job,work_type,partner,edu,gender,race,gtype,money
0.9739887406144194,-0.4520073085646609,0.0,-0.05041910958747832,-0.038862956142690225,0.0,NotM,United-States,Adm-clerical,Priv,D,SC,M,White,DC,<=50K
-0.33547207609689844,-0.4520073085646609,0.0,-0.4569297593303606,1.7564421621415365,0.0,NotF,United-States,Craft-repair,LGov,NM,HSG,M,White,AC,<=50K
0.09515690886866467,-2.1791166175691133e-15,0.0,1.1691128396411685,0.26035456357134756,0.0,H,United-States,Sales,SelfInc,MCS,B,M,White,AC,>50K
-0.3387093664311721,-2.1791166175691133e-15,0.0,-0.05041910958747832,0.1855501836428381,0.0,H,United-States,Exec-managerial,SelfInc,MCS,SC,M,White,AC,>50K
-0.031906736751577465,-0.4520073085646609,0.0,-0.4569297593303606,-1.011319895213313,0.0,NotF,United-States,Machine-op-inspct,Priv,NM,HSG,M,White,AC,<=50K
-3.3649124652830036e-16,-0.4520073085646609,0.0,-1.2699510588161254,1.3076158825704798,0.0,NotF,United-States,Sales,Priv,D,11,F,White,DC,<=50K
-0.9141261615971258,-2.1791166175691133e-15,0.0,1.575623489384051,0.7839852230709137,0.0,NotF,United-States,Exec-managerial,Priv,D,M,F,White,DC,<=50K
-1.6761496210315698,-0.4520073085646609,0.0,-0.4569297593303606,1.532029022356008,0.0,NotF,United-States,Machine-op-inspct,Priv,W,HSG,F,White,DC,<=50K
-1.0076029199992784,-2.1791166175691133e-15,0.0,-0.8634404090732429,-1.6097549346413886,0.0,OwnC,United-States,Other-service,Priv,NM,12,F,White,DC,<=50K
0.6066487816839069,-1.3720575073347654,0.0,-0.05041910958747832,-0.338080475856728,0.0,NotM,United-States,Other-service,Priv,S,SC,F,Black,DC,<=50K
-0.695400952512163,-0.4520073085646609,0.0,1.1691128396411685,-0.9365155152848036,0.0,Other,United-States,Sales,Priv,NM,B,M,White,AC,<=50K
0.43969709444493543,-2.1791166175691133e-15,0.0,-0.05041910958747832,-1.160928655070332,0.0,OwnC,United-States,?,?,NM,SC,F,White,DC,<=50K
-1.730929198187958,-0.4520073085646609,0.0,-2.0829723583018898,0.03594142378581922,0.0,H,United-States,Machine-op-inspct,FGov,MCS,9,M,White,AC,>50K
-0.8907251771808046,2.6148266873356873,0.0,1.1691128396411685,1.7564421621415365,0.0,NotF,United-States,Exec-managerial,Priv,W,B,M,White,AC,>50K
0.17223910407795986,-2.1791166175691133e-15,0.0,-0.4569297593303606,-1.4601461747843696,0.0,OwnC,United-States,?,?,NM,HSG,F,Black,DC,<=50K
0.30970832577265317,-0.4520073085646609,0.0,-0.4569297593303606,-0.4128848557852374,0.0,NotF,United-States,Exec-managerial,FGov,NM,HSG,F,White,DC,<=50K
-0.17752699303792413,2.6148266873356873,0.0,-0.05041910958747832,-0.7869067554277847,0.0,NotF,United-States,Exec-managerial,Priv,NM,SC,F,White,DC,<=50K
0.9931812475961849,-2.1791166175691133e-15,0.0,-0.05041910958747832,-1.534950554712879,0.0,OwnC,United-States,?,?,NM,SC,M,White,DC,<=50K
0.09077500516620136,-0.4520073085646609,0.0,-0.4569297593303606,1.6068334022845174,0.0,NotF,United-States,?,?,D,HSG,F,White,DC,<=50K
-0.6016351503301646,2.6148266873356873,0.0,1.1691128396411685,2.2800728216411024,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,Black,AC,>50K
0.029058377293512322,-0.4520073085646609,0.0,-0.4569297593303606,-0.26327609592821855,0.0,NotF,United-States,Adm-clerical,Priv,NM,HSG,M,White,AC,>50K
-0.12147562325021403,-0.4520073085646609,0.0,0.7626021898982863,0.11074580371432866,0.0,W,United-States,Exec-managerial,SelfInc,MCS,AA,F,White,DC,>50K
-0.04108676719948213,-0.4520073085646609,0.0,1.1691128396411685,-0.338080475856728,0.0,NotM,United-States,Prof-specialty,Priv,D,B,F,White,DC,>50K
-1.4582221727789815,-0.4520073085646609,0.0,2.3886447888698155,1.3076158825704798,0.0,NotF,China,Prof-specialty,SGov,MCS,D,M,Asian-Pac-Islander,AC,<=50K
1.4180177952136368,-0.4520073085646609,0.0,-0.05041910958747832,-0.5624936156422563,0.0,NotM,United-States,Other-service,Priv,NM,SC,F,Black,DC,<=50K
-1.07906610412837,2.6148266873356873,0.0,-0.4569297593303606,-0.6372979955707657,0.0,H,United-States,Craft-repair,Priv,MCS,HSG,M,White,AC,<=50K
2.5267781729511802,2.6148266873356873,0.0,1.1691128396411685,-0.1884717159997091,0.0,H,United-States,Prof-specialty,Priv,MCS,B,M,White,AC,>50K
-0.4582231885218403,-0.4520073085646609,0.0,-0.4569297593303606,-0.26327609592821855,0.0,H,United-States,Craft-repair,SGov,MCS,HSG,M,White,AC,<=50K
-1.442058844610001,-2.1791166175691133e-15,0.0,-1.6764617085590077,-1.534950554712879,0.0,OwnC,United-States,Other-service,LGov,NM,10,M,White,AC,<=50K
1.640072788642424,-0.3577316642678483,0.0,-0.4569297593303606,-0.7121023754992752,0.0,NotF,United-States,Farming-fishing,SelfNotInc,NM,HSG,M,White,AC,<=50K
1.0113563204728928,-0.3577316642678483,0.0,-0.05041910958747832,-0.4128848557852374,0.0,H,United-States,Protective-serv,LGov,MCS,SC,M,White,AC,<=50K
-0.08335652956414139,2.6148266873356873,0.0,1.1691128396411685,0.03594142378581922,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,White,AC,>50K
0.11492750341012181,-2.1791166175691133e-15,0.0,-1.2699510588161254,-1.534950554712879,0.0,OwnC,United-States,Craft-repair,Priv,NM,11,M,White,AC,<=50K
1.264234942584443,-0.4520073085646609,0.0,-0.05041910958747832,-0.5624936156422563,0.0,H,United-States,Craft-repair,Priv,MCS,SC,M,White,AC,<=50K
2.5380277568627814,-0.3577316642678483,0.0,-0.4569297593303606,-0.8617111353562941,0.0,Other,Mexico,Craft-repair,SelfInc,NM,HSG,M,White,AC,<=50K
-0.34701070378834536,-0.4520073085646609,0.0,-0.4569297593303606,-0.1884717159997091,0.0,NotF,United-States,Craft-repair,SelfNotInc,NM,HSG,M,White,AC,<=50K
-1.6479736333721948,-2.1791166175691133e-15,0.0,-0.4569297593303606,0.1855501836428381,0.0,NotM,United-States,Other-service,LGov,NM,HSG,F,White,DC,<=50K
-0.7238312986978023,-0.4520073085646609,0.0,0.0,-1.0861242751418225,0.0,OwnC,United-States,Exec-managerial,Priv,NM,B,M,White,AC,<=50K
-0.048879387504126647,2.6148266873356873,0.0,1.575623489384051,0.8587896029994231,0.0,H,United-States,Exec-managerial,Priv,MCS,M,M,White,AC,>50K
-1.6998049639741553,-0.4520073085646609,0.0,-0.4569297593303606,1.7564421621415365,0.0,NotF,Canada,Other-service,LGov,W,HSG,F,White,DC,<=50K
